training,validation
2.7406810918530624,1.9383623488600084
2.0964949398411705,1.9027686536622739
1.9932964245237543,1.822246469784321
1.92965590677568,1.7423013696766287
1.9082553474214072,1.7510431998361886
1.8588175786222485,1.6999707276931408
1.8244666647589514,1.7031415495276252
1.7998659201585425,1.6663942858793428
1.7412501828778717,1.68944699919592
1.7141081992939864,1.6322112627407501
1.7184533453131545,1.6395043478443232
1.6857891460704717,1.5606248119079018
1.6457719581090064,1.584597591103101
1.6309250939415425,1.5841593275240629
1.618816702025115,1.6393031833963423
1.586870757519573,1.520610952809926
1.5721519957848435,1.6404395195151118
1.575388861882911,1.5406719624880583
1.557336435422271,1.5204064991344504
1.5721597954614417,1.6223685931324967
1.563635155296127,1.523483428994346
1.523513202686537,1.4999435189320942
1.526208489360516,1.4970995735950632
1.5342309946233101,1.5156041297011749
1.5062541633450164,1.5546620127862103
1.5109640014082624,1.5488878121807819
1.4968952400776998,1.492584757374497
1.4945387951464024,1.4943417121298364
1.500631143439343,1.5323535311451038
1.475699716881571,1.4828679831471474
1.4841685127448536,1.499710857837503
1.4745361318711743,1.5418828568730691
1.460623997921938,1.6457184567648466
1.4863585323132706,1.5062642448836208
1.4678181388267246,1.6127966674910406
1.4602039588418125,1.4640762085336303
1.456360307769861,1.4840732082134194
1.4384142945635536,1.460249814302762
1.4503664865102877,1.4495108777876389
1.4354842032486053,1.483230527225087
1.4238161188165182,1.4964994001945424
1.419709132884317,1.4622561547158412
1.4198007355302367,1.440451745550398
1.4177517604111174,1.4314562091076142
1.4023255246084831,1.4746707060655921
1.401020478529796,1.4745863602538645
1.3957733489867874,1.4716796453525143
1.401075041322118,1.4280930267544556
1.380718035394636,1.452630791220812
1.3870833472828157,1.4479399975571883
1.377003425438039,1.4704943937737707
1.3634500460978245,1.458900034293456
1.3532280237591054,1.4688967189544777
1.3471068138025293,1.427951067878752
1.3473280083876211,1.4491406148551487
1.3324984995753633,1.3992423990564777
1.3296384891369464,1.3887827313695837
1.302881442149202,1.4281332178956119
1.3404322010626524,1.4674682052197932
1.3045191685826945,1.4055717267187238
1.2972119643554147,1.3936248241838265
1.2715743675667077,1.3919609183094357
1.2620073261209468,1.379799620843169
1.2696403251118422,1.382111565389895
1.2558528998730714,1.4403894375448196
1.2628128408903465,1.401087503158729
1.2377039529367286,1.4115475519486904
1.249644769113062,1.3642489880059574
1.211526601632455,1.4057346367961037
1.210228208879733,1.3972338201875316
1.2034712423756606,1.4031350254014707
1.189765362681054,1.386495555692991
1.1822151035204713,1.3626769212781924
1.1654680775423805,1.3824750818512452
1.1495694904594107,1.3928191205993539
1.1476588063697262,1.3948202486214045
1.1648335451670722,1.4440655419848256
1.1257925784860245,1.3642605553869225
1.0992539536300499,1.3647704383552588
1.103730868632677,1.3841142350917996
1.085656099996432,1.3604995766676806
1.0730389569906313,1.487596375463639
1.072109268485709,1.4204993625392794
1.05941647304609,1.3557962442775253
1.0385548075195215,1.3530759957919096
1.0163222214231875,1.3764290996644568
1.0325599922460251,1.3903444485204286
0.9969702725440639,1.4166015277538262
1.0304413127760166,1.3943831045902333
0.9841873291633433,1.413622189944476
0.9608024112315504,1.4024245464224434
0.9520386545029934,1.375612774597919
0.9390151410530361,1.4032463173658742
0.9245398553832663,1.3354280060955996
0.902759495887673,1.3799144082561867
0.9409142780537288,1.4224375160768787
0.8917401047028687,1.5048602412620569
0.8752546315446945,1.4516583018886091
0.9142699575558485,1.3970288016678605
0.8656341311742096,1.3783557718811468
0.8322696081130251,1.4283884794809933
0.8219382089053594,1.4406681178326364
0.8004038987655862,1.4182046573851503
0.7872200645392833,1.4253288292460768
0.8198845940128778,1.3926776451450837
