training,validation
2.898591539060813,1.9797721156739516
2.0749040298309027,1.8819903307908563
1.8732991541955293,1.7407831647503043
2.2553726104266967,1.6732617019649936
1.6783908453100922,1.6806101912842277
1.613730103748523,1.6149111838395402
1.6315926084265588,1.687353692953164
1.710026340557087,1.6178128899140356
1.554675698364922,1.5996106176872225
1.5547981790998506,1.5806257819524108
1.536222743615234,1.558658962749806
1.5305443374712386,1.5642597617143044
1.5286607234392393,1.5407085001449246
1.5214406205135986,1.5549546956242661
1.5163743637939098,1.564331091837263
1.5235446594897668,1.5391107541957565
1.515382616040626,1.549518189032361
1.5006205465447424,1.5410786015124665
1.4999861388339721,1.520937040355167
1.4884011025454198,1.553176498326843
1.4833403524635147,1.5207913055448061
1.4800351242621372,1.546146045742968
1.4721292659742442,1.503001023372459
1.4684067448654305,1.5102284776808197
1.4616595695336894,1.5883934801326074
1.461935250148322,1.5162263316393008
1.4519217818005148,1.5446332910353326
1.4532263195747506,1.4988377797221195
1.4480283940953398,1.5282060242841808
1.4524190318721244,1.558195146342765
1.4462246395464298,1.5040081059035795
1.432753929000731,1.4935707561336402
1.4311644234515697,1.5130130490766482
1.4249289746344005,1.529638828520268
1.4177709037117883,1.4914691254364358
1.4116068936131303,1.4909507189668183
1.4060450617492495,1.5209310306453026
1.4310257218808737,1.4872961453588875
1.4027408551890461,1.5125120038352236
1.3976788684232666,1.5056201353901097
1.3910088951639297,1.4959767358103815
1.376149852205102,1.4828149719137285
1.3759541255672647,1.5016690564727537
1.3713305450304192,1.5034769233128928
1.3615768844577905,1.4863282924255998
1.351606719918994,1.48541307591579
1.352761271037496,1.5020714305224432
1.3457993240691384,1.4881734443527228
1.3427786873814915,1.4936301642196224
1.33413911595349,1.4887282443678993
1.3279819165075593,1.504463023378846
1.3210946661473497,1.4753802183237203
1.3150899242514529,1.4666463772181335
1.3079521833812862,1.4676335535250986
1.2967709873832904,1.501516164011145
1.2917190739849989,1.4872928972083768
1.283029509021593,1.5055378096794885
1.3365719194724586,1.4694438827234544
1.2799624098858642,1.4878396748346783
1.260083101331614,1.5141864861662755
1.2466722954718403,1.5031936889545774
1.2501191287310276,1.4989287475103268
1.2432633705728156,1.4867469197589813
1.228663508799515,1.50955951265807
