training,validation
2.029366910182337,1.852860656277726
1.7370869915264904,1.744977352708768
1.625521245570848,1.6013099508086543
1.5827203029166452,1.5976991678643055
1.5790737848748921,1.585143530419732
1.5601119838683486,1.5381919424219683
1.5424759274016853,1.5535561773438857
1.5399854102182091,1.5369567036679515
1.529899853678157,1.5302207449631837
1.520432837738191,1.566796812978612
1.513348786559215,1.5044178400617774
1.5045035014282646,1.5250992625332223
1.4991513360985935,1.5008280301195762
1.4911831512494094,1.5109982039886343
1.4820936471098842,1.5010245579872197
1.4781923832090995,1.4951670884748263
1.4686430042004317,1.5026370044202664
1.4623281773494798,1.4940741029442577
1.461319000514168,1.490702439452244
1.4517322142847544,1.4978767363099925
1.446061216216669,1.4726916217329868
1.440602840016544,1.4791973127221678
1.4331883173117859,1.4827406574818363
1.434506477828752,1.5038631492606986
1.4176914804808112,1.463074339725779
1.4136777271980463,1.4602919086224697
1.4103429143664605,1.4730239212563472
1.402719725004253,1.4716335353971828
1.3995469099564732,1.4595670367961338
1.3891913771781996,1.4552062471902525
1.3828467451248274,1.4809759557933788
1.37626195158451,1.4616275128373963
1.3703757334025073,1.4464818407012816
1.3609531926898906,1.4552147183026591
1.3706908652342573,1.4644347392161767
1.3572438804853706,1.4607181907867288
1.343457641959118,1.451543870973627
1.3324669468173946,1.5063847046218368
1.3323246466282694,1.4544809057574815
1.3205331791731791,1.4434606858675858
1.3181183561936973,1.444539525047398
1.3116686648183968,1.4496330864859626
1.3055632076303174,1.4442466415676034
1.297323837098742,1.468653475842053
1.2944468055487361,1.4342715476825931
1.29155825102729,1.4493628952579192
1.284079473113362,1.4453952594165818
1.2781829173049601,1.4390113624163607
1.270863008108354,1.4553909072331612
1.2673790776487008,1.4672713794612888
1.2609999289967844,1.4443050712795868
1.2548657061616528,1.4890708226503937
1.2536309932535146,1.4760618802391592
1.24642726774752,1.4471068858104486
1.241435851950465,1.4440316711343213
1.2348130025829354,1.5248720276211334
